sale_id,date,customer_id,product_id,quantity,first_name,last_name,email,country,gender,age,product_name,category,unit_price,supplier,total_price
16057,2025-09-12,2327,127,3,Reginald,Cook,kimberlymann@wilson.com,Netherlands,Female,66,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",390.51
16983,2024-11-26,1056,127,4,Bruce,Vincent,david38@perez.com,Greenland,Male,19,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",520.68
17662,2024-11-05,3155,127,3,Robert,Murray,powellstephen@yahoo.com,Saint Pierre and Miquelon,Male,63,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",390.51
17776,2025-02-16,3811,127,4,Debbie,Rodriguez,stephensamy@foster.com,Wallis and Futuna,Female,68,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",520.68
18856,2025-07-04,3548,127,1,Jennifer,Moore,qwong@jackson.biz,Argentina,Female,34,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
19300,2024-12-21,4473,127,2,Katherine,Williams,darleneroberts@newton-clarke.com,Canada,Male,27,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
19562,2025-05-30,1256,127,1,Shannon,Valenzuela,djensen@yahoo.com,Slovenia,Female,68,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
2,2025-05-14,1260,468,3,Thomas,Odom,castanedachristina@oliver.com,Namibia,Male,24,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
1682,2024-11-03,2697,468,3,Victor,Carney,andrew98@yahoo.com,Senegal,Female,25,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
2832,2025-08-11,4375,468,4,John,Silva,kim16@english.biz,French Southern Territories,Male,43,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",279.4
3304,2025-08-22,1623,468,4,Gail,Becker,rossjames@beasley.com,Zimbabwe,Female,29,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",279.4
3516,2025-05-31,217,468,4,Angela,Jones,robinpope@gmail.com,Tuvalu,Female,38,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",279.4
3918,2025-09-09,1508,468,3,Kimberly,Reeves,smithapril@mcguire.biz,Eritrea,Female,51,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
4107,2025-03-20,2694,468,3,Chris,Snyder,greg78@walker.net,Mozambique,Female,46,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
4198,2024-11-12,1939,468,3,Sarah,Smith,bswanson@olsen-jones.com,Barbados,Female,58,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
4723,2025-06-17,576,468,1,Lindsey,Simmons,william63@yahoo.com,Palau,Female,69,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",69.85
5328,2025-06-10,2382,468,2,Jamie,Graham,ashleyroman@russo.com,Kyrgyz Republic,Male,32,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
6301,2025-09-09,3759,468,2,Laura,Sanchez,kyle14@yahoo.com,Samoa,Male,50,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
6704,2025-07-09,3717,468,3,Christina,Holloway,robert93@hotmail.com,Korea,Female,61,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
6846,2025-05-14,2089,468,2,Gail,Hogan,uburke@morgan.org,Singapore,Female,18,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
6981,2025-03-01,3862,468,1,Donald,Pham,daisy28@warren-peters.com,Cyprus,Female,38,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",69.85
7648,2025-07-20,4994,468,2,Valerie,Payne,anne18@lee.com,Belize,Male,69,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
8995,2025-08-04,3341,468,1,Brianna,King,burnscarl@gmail.com,San Marino,Male,56,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",69.85
9281,2025-07-15,2157,468,3,Ryan,Richmond,zachary37@ellis-bell.com,Cambodia,Female,61,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
9619,2025-03-25,3134,468,2,Heather,Pineda,steven75@martinez.net,Latvia,Male,50,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
9737,2025-01-11,239,468,3,Brooke,Gentry,karen94@welch-murphy.info,Guam,Male,34,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
10059,2025-04-12,3160,468,1,Joyce,Bryant,mperez@gilbert-stark.com,Papua New Guinea,Male,43,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",69.85
10117,2025-08-18,1750,468,3,Jared,Foster,qfaulkner@gmail.com,Venezuela,Male,30,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
10204,2025-07-17,4852,468,3,John,Turner,bmosley@price.com,Afghanistan,Female,39,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
10272,2025-10-28,38,468,2,Christine,Hendricks,douglas59@yahoo.com,Puerto Rico,Male,33,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
11193,2024-12-07,3464,468,1,Mary,Walker,cruzjanet@hotmail.com,Czech Republic,Female,28,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",69.85
11286,2025-03-18,4955,468,3,Melissa,Hansen,paul67@yahoo.com,Cambodia,Male,19,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
11359,2024-12-01,3242,468,2,Kent,Burns,delgadosusan@knight.biz,Korea,Female,18,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
11458,2024-10-29,2615,468,3,April,Lopez,gcollier@gmail.com,Seychelles,Female,68,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
11824,2025-08-29,1574,468,3,Erin,Mcdowell,rowen@kelly.com,Italy,Female,19,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
11895,2025-09-26,3535,468,4,Jennifer,Pierce,nicole31@powell-rich.com,Isle of Man,Female,31,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",279.4
11924,2025-04-30,1746,468,2,Monique,Dickson,xwright@yahoo.com,Uruguay,Female,66,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
12123,2025-04-14,2191,468,4,Jennifer,Stevenson,benjamin10@sanders.biz,Grenada,Female,62,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",279.4
13343,2024-11-03,2701,468,4,Dakota,Nguyen,hilledwin@hotmail.com,Philippines,Male,50,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",279.4
13532,2024-12-03,4721,468,3,Andrew,Nelson,jonathanmccullough@ryan-hardin.info,Serbia,Male,67,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
14791,2025-03-07,457,468,2,Katie,Carrillo,raven09@yahoo.com,Guam,Female,20,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
15676,2025-02-23,2993,468,2,Jessica,White,christianrobinson@jackson.info,Georgia,Female,24,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
16194,2025-05-08,637,468,1,Harry,Lee,sara06@briggs-moore.info,Barbados,Male,45,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",69.85
17884,2025-07-25,4615,468,4,Jesse,Smith,williamsandrew@yahoo.com,Palestinian Territory,Male,26,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",279.4
18059,2025-07-30,4400,468,4,Jesse,Bell,wintersjennifer@gmail.com,American Samoa,Male,64,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",279.4
18923,2025-09-09,4282,468,2,Crystal,Fry,lewisdavid@armstrong.com,Maldives,Female,56,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
19004,2025-09-12,1359,468,4,Morgan,Camacho,adamnolan@hotmail.com,Luxembourg,Female,28,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",279.4
19375,2025-07-25,4113,468,2,Justin,Ward,cookbrian@yahoo.com,Netherlands,Female,37,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",139.7
19397,2025-09-25,1573,468,1,Shannon,Campbell,qgreen@yahoo.com,Panama,Female,30,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",69.85
19638,2025-02-17,898,468,3,John,Pierce,ahernandez@gmail.com,Moldova,Female,19,LED Strip 468,Moon Lamp,69.85,"Jackson, Gibson and Hogan",209.54999999999998
3,2025-01-19,4950,280,1,Marcia,Collier,sara75@yahoo.com,Isle of Man,Male,60,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
42,2025-02-07,2626,280,3,Allison,Lopez,brownsamuel@mcneil.com,Mozambique,Female,31,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
164,2025-06-07,402,280,1,Jason,Williams,sjames@brown.info,Lebanon,Female,59,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
383,2025-06-06,4299,280,4,Ivan,Hurst,lisa74@andrews.info,Austria,Male,50,Night Light 280,Night Light,12.47,Santos-Bullock,49.88
1258,2025-01-17,439,280,3,Stephen,Erickson,vhopkins@hotmail.com,Montenegro,Male,55,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
2267,2025-09-17,4685,280,2,Michael,Meyer,floresmitchell@gmail.com,Jersey,Female,18,Night Light 280,Night Light,12.47,Santos-Bullock,24.94
3278,2025-05-17,62,280,1,Danielle,Terrell,kgonzales@yahoo.com,Mongolia,Male,18,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
3345,2025-09-16,4890,280,1,Kimberly,Nguyen,aprilwest@byrd.biz,Belize,Male,58,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
4597,2025-07-31,757,280,1,Amy,Shah,mjohnson@gmail.com,United Arab Emirates,Female,69,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
4711,2025-06-25,1433,280,1,Jessica,Suarez,jeffreymccormick@gmail.com,Pitcairn Islands,Female,63,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
5296,2025-05-01,39,280,2,Michelle,Robles,xmerritt@yahoo.com,Antarctica (the territory South of 60 deg S),Male,29,Night Light 280,Night Light,12.47,Santos-Bullock,24.94
5585,2025-02-16,285,280,3,Tracy,Bryant,jerome16@yahoo.com,Albania,Female,61,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
5821,2025-10-08,2658,280,3,Peter,Brown,elynch@hotmail.com,Canada,Female,52,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
5959,2024-11-05,3184,280,3,Anthony,Williams,boydbrady@parrish-barnes.com,Puerto Rico,Female,44,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
6590,2024-12-15,2541,280,1,David,House,tburgess@yahoo.com,Solomon Islands,Male,44,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
8385,2025-07-13,4898,280,3,Jennifer,Davis,caitlin23@ross.net,Ethiopia,Male,44,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
8728,2025-06-22,3949,280,4,Timothy,White,lwright@hotmail.com,Albania,Male,43,Night Light 280,Night Light,12.47,Santos-Bullock,49.88
9768,2025-08-03,3653,280,1,Theresa,Love,pacejasmine@gmail.com,Azerbaijan,Female,55,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
10351,2025-03-16,4426,280,4,Arthur,Jones,alvarezcrystal@thompson.com,Pitcairn Islands,Male,67,Night Light 280,Night Light,12.47,Santos-Bullock,49.88
10521,2025-10-11,3535,280,2,Jennifer,Pierce,nicole31@powell-rich.com,Isle of Man,Female,31,Night Light 280,Night Light,12.47,Santos-Bullock,24.94
11093,2025-03-03,4898,280,1,Jennifer,Davis,caitlin23@ross.net,Ethiopia,Male,44,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
11232,2025-07-10,4488,280,3,Jessica,Glover,christophermartinez@hotmail.com,India,Female,66,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
11358,2025-05-08,1750,280,2,Jared,Foster,qfaulkner@gmail.com,Venezuela,Male,30,Night Light 280,Night Light,12.47,Santos-Bullock,24.94
12445,2025-03-31,4483,280,3,Kenneth,Leach,jennifer50@bell.com,Russian Federation,Female,56,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
12796,2025-05-31,3502,280,4,Brent,Miller,laurie01@gmail.com,Cote d'Ivoire,Male,32,Night Light 280,Night Light,12.47,Santos-Bullock,49.88
14087,2025-06-20,3320,280,3,Kathryn,Bell,jerome33@ferguson.com,Aruba,Female,65,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
14109,2025-09-30,2753,280,2,Mary,Mcfarland,maria44@yahoo.com,Faroe Islands,Male,43,Night Light 280,Night Light,12.47,Santos-Bullock,24.94
14592,2025-03-27,459,280,1,Courtney,Martin,jessica57@harmon-castillo.info,Belgium,Male,23,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
14599,2024-12-15,2702,280,4,Audrey,Hayes,phillip11@hotmail.com,Togo,Male,20,Night Light 280,Night Light,12.47,Santos-Bullock,49.88
14651,2025-08-01,4631,280,3,Barbara,Mooney,scook@simmons.com,Tuvalu,Male,27,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
15098,2025-04-18,2089,280,4,Gail,Hogan,uburke@morgan.org,Singapore,Female,18,Night Light 280,Night Light,12.47,Santos-Bullock,49.88
15129,2025-09-01,3002,280,4,Debra,Barrera,micheleyork@porter-reeves.com,China,Female,52,Night Light 280,Night Light,12.47,Santos-Bullock,49.88
15352,2025-06-15,3910,280,1,Michael,Diaz,michaelrhodes@yahoo.com,Belgium,Male,59,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
15659,2025-01-08,898,280,4,John,Pierce,ahernandez@gmail.com,Moldova,Female,19,Night Light 280,Night Light,12.47,Santos-Bullock,49.88
16143,2025-09-08,2252,280,3,Todd,Young,alice08@hotmail.com,Gabon,Male,60,Night Light 280,Night Light,12.47,Santos-Bullock,37.410000000000004
17315,2025-01-23,1451,280,4,Bradley,Li,hansonheather@walters-harris.net,Paraguay,Female,48,Night Light 280,Night Light,12.47,Santos-Bullock,49.88
17885,2024-12-26,3294,280,1,Pamela,Peters,karagutierrez@yahoo.com,United States Minor Outlying Islands,Male,62,Night Light 280,Night Light,12.47,Santos-Bullock,12.47
19106,2025-08-25,1748,280,2,Bryan,Nunez,zjohnson@munoz-weber.net,Seychelles,Male,23,Night Light 280,Night Light,12.47,Santos-Bullock,24.94
19505,2025-07-05,431,280,2,Daniel,Lee,lrichards@yahoo.com,Saint Barthelemy,Male,67,Night Light 280,Night Light,12.47,Santos-Bullock,24.94
4,2024-12-21,4324,367,4,Mary,Johnson,lwright@yahoo.com,Cote d'Ivoire,Female,25,Night Light 367,Night Light,50.21,Jones-Jackson,200.84
78,2024-12-06,4702,367,3,Brian,Roberts,lwilliamson@rich-norman.com,Bahrain,Male,61,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
1472,2025-06-28,1692,367,2,Kari,Roberts,michael53@holloway.com,Anguilla,Female,65,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
1631,2025-05-26,2912,367,2,Stacey,Swanson,xgarcia@johnson.com,Azerbaijan,Male,40,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
2551,2025-03-16,4365,367,1,Nathaniel,Mcgee,jacqueline88@butler.com,Saint Martin,Male,59,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
2583,2024-12-02,790,367,1,Patrick,Ramirez,lisamoore@obrien.com,Pakistan,Male,50,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
2612,2024-12-02,4802,367,3,Stacy,Phelps,elizabeth95@hotmail.com,Jamaica,Male,56,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
2901,2025-05-16,1664,367,3,Brent,Henry,brian85@hotmail.com,Hong Kong,Male,53,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
3828,2025-08-19,3836,367,2,Louis,Cochran,jacob64@reynolds.com,Saint Helena,Female,54,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
4227,2025-06-08,15,367,3,Debra,Marsh,davidhardy@gmail.com,Senegal,Female,66,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
4342,2025-04-23,69,367,4,Leslie,Walton,patricia06@randolph.com,Uganda,Female,26,Night Light 367,Night Light,50.21,Jones-Jackson,200.84
4512,2025-05-06,2624,367,2,Victor,Barker,dcarlson@gmail.com,Cook Islands,Female,62,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
4703,2025-02-23,4368,367,2,Ralph,Ross,jimenezalexander@mason.biz,Oman,Male,69,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
4771,2025-05-26,942,367,4,Timothy,Miller,thomastimothy@henderson.org,Svalbard & Jan Mayen Islands,Male,27,Night Light 367,Night Light,50.21,Jones-Jackson,200.84
5114,2025-09-22,21,367,3,Linda,Smith,sandra49@todd.org,Madagascar,Female,20,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
5145,2025-05-26,2070,367,1,Tina,Wagner,john19@yahoo.com,Togo,Male,45,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
5294,2025-03-28,1456,367,1,Veronica,May,sarajohnston@hotmail.com,Northern Mariana Islands,Male,62,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
5544,2025-06-13,3204,367,3,Robert,Long,sherry65@yahoo.com,Tanzania,Male,38,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
6253,2025-09-17,1459,367,1,Karen,Taylor,daniel35@hotmail.com,Ukraine,Female,48,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
6345,2025-03-09,1557,367,2,Anthony,Carpenter,lpierce@munoz.com,Barbados,Female,37,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
7531,2025-01-27,2897,367,4,Brian,Larson,richardsjennifer@yahoo.com,Marshall Islands,Female,21,Night Light 367,Night Light,50.21,Jones-Jackson,200.84
7950,2024-12-28,1767,367,4,Jeffrey,Wells,hudsontodd@patterson-dunlap.com,Western Sahara,Female,62,Night Light 367,Night Light,50.21,Jones-Jackson,200.84
7968,2024-12-17,2671,367,2,Kyle,Dawson,kstone@hotmail.com,Bhutan,Male,25,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
8361,2025-08-15,694,367,2,Sandra,Clarke,brandoncollins@fischer.net,Uzbekistan,Female,42,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
8535,2024-11-12,838,367,2,Eric,Wilkinson,thomasrandall@hotmail.com,Afghanistan,Male,23,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
8653,2024-12-23,4947,367,3,Amy,Bartlett,marybarnes@phillips-vasquez.biz,Gabon,Male,56,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
8678,2025-06-04,4517,367,3,Alexandra,Hansen,kevindiaz@yahoo.com,Lithuania,Female,33,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
9048,2025-08-18,4907,367,1,Danny,Yoder,mistysnyder@fox-arnold.com,Samoa,Male,22,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
9952,2025-08-15,1597,367,2,Kevin,Kelly,timothysharp@gmail.com,Poland,Female,63,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
10879,2025-08-28,3550,367,1,Daniel,Saunders,omejia@gmail.com,Indonesia,Female,19,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
11554,2024-12-12,3546,367,1,Frank,Rodriguez,brittneywashington@yahoo.com,Norfolk Island,Male,66,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
11556,2025-01-02,781,367,4,Marilyn,Crosby,hullcheryl@crawford.com,Moldova,Male,31,Night Light 367,Night Light,50.21,Jones-Jackson,200.84
12847,2025-02-13,3920,367,4,Jose,Evans,kellerlinda@christian.org,Antigua and Barbuda,Male,43,Night Light 367,Night Light,50.21,Jones-Jackson,200.84
12906,2025-10-28,3535,367,1,Jennifer,Pierce,nicole31@powell-rich.com,Isle of Man,Female,31,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
13421,2025-09-26,3826,367,1,Carlos,Shelton,ryan11@yahoo.com,Sierra Leone,Female,30,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
13715,2025-08-08,2483,367,1,Mario,Flynn,nicoletaylor@hotmail.com,El Salvador,Male,64,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
13754,2025-07-23,908,367,2,Julie,Walls,jamescobb@hotmail.com,Cambodia,Male,64,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
13821,2025-08-31,1041,367,1,Judy,Jones,xgonzales@duran-sanchez.com,Kiribati,Male,63,Night Light 367,Night Light,50.21,Jones-Jackson,50.21
13891,2025-07-14,2446,367,2,Katie,Spencer,willie34@barton-nichols.com,Mali,Male,59,Night Light 367,Night Light,50.21,Jones-Jackson,100.42
14086,2025-04-25,3792,367,3,Douglas,Holt,smithkimberly@little-hernandez.com,Fiji,Female,18,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
14362,2025-05-11,3495,367,3,Melinda,Gomez,eturner@caldwell.com,Aruba,Male,32,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
15215,2025-06-04,497,367,3,Richard,Anthony,williamskatherine@gmail.com,Estonia,Male,46,Night Light 367,Night Light,50.21,Jones-Jackson,150.63
